STATES,Arunachal Pradesh,Assam,Himachal Pradesh,Jammu and Kashmir,Manipur,Meghalaya,Mizoram,Nagaland,Sikkim,Tripura,Uttarakhand,Andhra Pradesh,Bihar,Chhattisgarh,Goa,Gujarat,Haryana,Jharkhand,Karnataka,Kerala,Madhya Pradesh,Maharashtra,Odisha,Punjab,Rajasthan,Tamil Nadu,Uttar Pradesh,West Bengal,Delhi,Puducherry
2008,415.9,5766.86,3014.87,4475,890.17,940.77,597.84,1123.47,492.91,1299.65,2302.28,13001.21,6484.76,2793.91,465.56,7353.21,4216,3166.73,7964,7367.12,6533.57,22879.17,4745.44,6316.41,7691.85,11005.84,19603.89,11618.4,1713.62,445
2009,842.67,5415.29,3314.89,5077.78,1063.32,1015.19,861.62,1254.32,576.44,1374.59,3349.91,14277.28,7658.49,3530.33,668.28,7353.21,6259,3947.74,9256,8800.95,8076.89,24478,7033.66,6744.81,11269.49,14265.63,14156.88,12985.59,2905.18,688
2010,1462.47,6466.32,3973.03,6022.81,1148.89,1492.66,998.27,1493.87,968.76,2006.71,4811.21,17407.42,9572.69,4830.38,900.47,7353.21,8429,5394.07,9444,9799.38,10171.89,35467.91,8465.88,8131.31,13802.12,17275.68,19711.01,20826.67,3836.32,868
2011,1395.47,11590.62,5166.39,7722,1673.15,1857.47,1304.34,2036.36,1095.79,2106.22,4966.14,23439.87,10549.85,5946.77,1000,15205.33,9523,5811.72,9951,10698.32,12425.13,41746,8838.92,9635.18,13351.22,21545.2,22659.18,23727.95,3431.86,1011
2012,1995.94,9277.62,5305.51,9904.25,2210.1,2179.43,1411.38,2339.19,874.84,2156.09,5511.88,26396.2,12193.7,6935.3,1141.33,15205.33,9715,6305.58,11546,9266.78,13340.38,45479.85,8745.74,12273.79,14479.89,23602.5,26660.71,25483.89,3784.94,948.04
2013,1759.12,11988.56,6129.73,10701,2350.12,2093.56,1651.21,2590.74,971.01,2343.3,6046.37,25771.46,13557.88,7177.7,1301.12,18373.74,11099,6446.02,15700,8689.36,15203.19,54881,9515.42,13868.64,16406.58,27338.14,30608.62,26684.8,4260.92,969.08
2014,2235.2,12825.06,6956.42,13811,2627.33,1987.24,1959.39,2821.72,1097.3,3073.66,7404.18,32116.72,17676.18,8386.51,1423.715,20510,12790,8143.59,17382,17850.27,20472.13,60680,14523.85,15269.12,20121.94,34570,33895.84,31037.74,5027.06,1215.98
REV_SEVEN_EIGHT,2160.98,9890.75,5639.73,8561.24,1788.27,1929.98,1483.75,2042.08,978.94,2082.57,5535.76,41602.71,17066.94,9015.17,1546.31,22040.97,13883,8255.62,29628.42,15637.45,19446.05,47893.75,12752.43,16101.35,20620.46,30872.13,48266.82,22935.46,7266.18,1894
REV_EIGHT_NINE,2664.51,11235.2,6390.64,9200.82,2041.4,2298.99,1805.47,2346.59,1178.46,2378.73,6379.6,48278.64,21279.6,11785.4,1981.27,26610.98,16582,10001.62,33014.34,18877.74,22888.84,57063.6,15883.51,16837.48,24749.24,39892.89,57667.61,35111.53,9250.69,2144
REV_NINE_TEN,3284.77,14235.28,7846.7,11617.05,2399.04,2740.53,2121.22,2610.87,1548.84,3245.39,8272.21,48195.32,24580,14936.82,2498.33,34173.04,20131,11139.96,38916.09,21134.4,28365.42,73859.36,18964,19039.53,28476.21,44323.11,66310.72,38684.19,11427.96,2507
REV_TEN_ELE,3122.05,21977.32,9890.89,13940.87,3313.06,3440.57,2701.36,3457.54,1665,3257.39,8999.78,59249.89,27752.89,16347.06,3220,40787.33,21897,13636.09,44323,23207.66,36196.11,80925.48,22295.48,22072.75,32353.7,53208.31,80842.2,42642.9,11802.22,2945
REV_ELE_TWE,3898.07,24763.72,9551.46,17100.8,3981.32,4173.36,3123.81,3871.59,2065.02,3585.94,10070.88,68744.74,34387.39,19556.98,4034.61,42649.62,24810,16427.81,53617,26802.05,43005.03,95546.24,27343.05,21108.1,39841.7,62370.45,94277.16,47364.64,15047.6,2535.86
REV_TWE_THI,4187.52,28652.37,11057.51,18931.51,4123.25,4297.46,3850.24,4584.91,2083.3,3985.88,10505.8,78951.24,41675.09,23404.22,4211.48,50673.5,29521,18077.43,62233,28116.66,52448.01,104643.44,30050.95,26660.66,48264.05,74096.16,115719.1,53504.49,17796.48,2218.65
REV_THI_FOR,3991.82,27329.08,12425.57,21760,5399.98,6643.96,4362.61,5294.5,2757.21,5445.39,13523.8,98021.23,56095.61,31264.72,6180.43,60220.59,36103.56,24899.18,80391,34091.23,61339.27,122355.03,37658.51,31642.25,59102.27,88268.02,129982.82,61913.06,21329.7,2465
SAL_PE_7_8,19.25,58.31,53.46,52.27,49.78,48.75,40.29,55.02,50.35,62.41,41.59,31.25,38,30.99,30.11,33.36,30.37,38.36,26.88,47.11,33.6,47.77,37.21,39.23,37.3,35.65,40.62,50.66,23.58,23.5
SAL_PE_8_9,31.63,48.2,51.87,55.19,52.09,44.16,47.72,53.45,48.91,57.79,52.51,29.57,35.99,29.96,33.73,27.63,37.75,39.47,28.04,46.62,35.29,42.9,44.28,40.06,45.53,35.76,24.55,36.98,31.41,32.09
SAL_PER_9_10,44.52,45.42,50.63,51.84,47.89,54.47,47.06,57.22,62.55,61.83,58.16,36.12,38.95,32.34,36.04,21.52,41.87,48.42,24.27,46.37,35.86,48.02,44.64,42.71,48.47,38.98,29.73,53.84,33.57,34.62
SAL_PER_10_11,44.7,52.74,52.23,55.39,50.5,53.99,48.28,58.9,65.81,64.66,55.18,39.56,38.01,36.38,31.06,37.28,43.49,42.62,22.45,46.1,34.33,51.59,39.64,43.65,41.27,40.49,28.03,55.64,29.08,34.33
SAL_PER_11_12,51.2,37.46,55.55,57.92,55.51,52.22,45.18,60.42,42.36,60.13,54.73,38.4,35.46,35.46,28.29,35.65,39.16,38.38,21.53,34.57,31.02,47.6,31.99,58.15,36.34,37.84,28.28,53.8,25.15,37.39
SAL_PER_12_13,42.01,41.84,55.43,56.52,57,48.72,42.89,56.51,46.61,58.79,57.55,32.64,32.53,30.67,30.89,36.26,37.6,35.66,25.23,30.9,28.99,52.45,31.66,52.02,33.99,36.9,26.45,49.87,23.94,43.68
SAL_PER_13_14,55.99,46.93,55.98,63.47,48.65,29.91,44.91,53.3,39.8,56.45,54.75,32.77,31.51,26.82,31.68,34.06,35.43,32.71,21.62,52.36,33.38,49.59,38.57,48.26,34.05,39.16,26.08,50.13,23.57,49.33
